Taxon,Specimen,CML,species
Peltocephalus dumerilianus,ICN_7631,494.58,pd
Peltocephalus dumerilianus,PU_Ost_785_AMNH,292.85,pd
Peltocephalus dumerilianus,CRI_7524,471.54,pd
Peltocephalus dumerilianus,INPA-H_0247,181.6,pd
Peltocephalus dumerilianus,INPA-H_1394,298.19,pd
Peltocephalus dumerilianus,INPA-H_21940,353.73,pd
Peltocephalus dumerilianus,INPA-H_21942,304.58,pd
Peltocephalus dumerilianus,INPA-H_21943,282.16,pd
Peltocephalus dumerilianus,INPA-H_25558,319.09,pd
Peltocephalus dumerilianus,INPA-H_25559,370.47,pd
Peltocephalus dumerilianus,INPA-H_26218,288.43,pd
Peltocephalus dumerilianus,ZMB_37380,344.48,pd
Peltocephalus dumerilianus,AMNH_131886,397.74,pd
Peltocephalus dumerilianus,ICN_7324,352.38,pd
Peltocephalus dumerilianus,CRI_3344,398.28,pd
Peltocephalus dumerilianus,INPA-H_22885,282.25,pd
Peltocephalus dumerilianus,CRI_3295,203.35,pd
Podocnemis expansa,INPA-H_31036,476.04,pe
Podocnemis expansa,DGM_276-RR,588.86,pe
Podocnemis expansa,DGM_277-RR,430.57,pe
Podocnemis expansa,INPA-H_31022,367.44,pe
Podocnemis expansa,INPA-H_31025,372.6,pe
Podocnemis expansa,INPA-H_31028,469.53,pe
Podocnemis expansa,INPA-H_31034,604.71,pe
Podocnemis expansa,MPEG_0637,215.91,pe
Podocnemis expansa,AMNH_6823,651.48,pe
Podocnemis expansa,USNM_65113,438.01,pe
Podocnemis expansa,USNM_222470,878.73,pe
Podocnemis expansa,AMNH_6247,721.37,pe
Podocnemis expansa,ICN_6319,742.92,pe
Podocnemis expansa,ICN_7362,221.7,pe
Podocnemis expansa,ICN_8921,738.49,pe
Podocnemis expansa,USNM_29476,890.23,pe
Podocnemis expansa,NMW_35550,518.17,pe
