ID,Taxon,Specimens,MW,MiL,HC,TSL,TSW,TSML,SH,AJR,species,genus
it_1,giant_turtle,Rondonia Jaw,1.014388489,0.956834532,0.532374101,0.507194245,0.104316547,0.176258993,0.604316547,65.839,it,it
em_1,Erymnochelys madagascariensis,MNHN_1897-80,1.043161979,1.00800194,0.384820563,0.790494665,0.204898157,0.132880698,0.389912706,82.029,em,er
em_2,Erymnochelys madagascariensis,MNHN_1946-71,0.862608976,0.79011947,0.334840168,0.590410074,0.187923797,0.096545044,0.307071359,92.764,em,er
em_3,Erymnochelys madagascariensis,NMW_140,1.158761366,1.073973949,0.424428607,0.820594741,0.218481199,0.150897026,0.388793315,89.517,em,er
em_4,Erymnochelys madagascariensis,NMW_141,1.078379034,1.013103616,0.481436545,0.778451832,0.180053385,0.115991264,0.392137831,86.592,em,er
em_5,Erymnochelys madagascariensis,NMW_142,0.971935339,0.994387068,0.353614728,0.729681185,0.183430624,0.122361922,0.30960934,88.282,em,er
em_6,Erymnochelys madagascariensis,BSZ_843-20,1.090541905,1.072702794,0.298216089,0.828004039,0.183103332,0.147425109,0.343655335,82.288,em,er
pd_1,Peltocephalus dumerilianus,AMNH_131886,1.057503949,0.901421801,0.468720379,0.786413902,0.158293839,0.180094787,0.417061611,73.689,pd,pe
pd_2,Peltocephalus dumerilianus,MCZ_93077,0.952304681,0.889304147,0.377825236,0.762947144,0.155187756,0.164798007,0.429079907,69.547,pd,pe
pd_3,Peltocephalus dumerilianus,MPEG_0306,0.608710446,0.771861177,0.375127594,0.60564818,0.108029942,0.144607009,0.418509697,70.077,pd,pe
pd_4,Peltocephalus dumerilianus,SMRF_40169,0.889944461,0.790850628,0.403390821,0.654633148,0.118240281,0.148494592,0.424437299,72.286,pd,pe
pd_5,Peltocephalus dumerilianus,AMNH_131886,0.922137405,0.936386768,0.396437659,0.682782019,0.129940628,0.156403732,0.40322307,74.661,pd,pe
pd_6,Peltocephalus dumerilianus,ICN_7324,0.777834265,0.87633452,0.34430605,0.675266904,0.111591256,0.176792069,0.373284189,70.958,pd,pe
pd_7,Peltocephalus dumerilianus,CRI_3344,0.920525378,0.927203918,0.341718611,0.738423865,0.130231523,0.126224399,0.339492431,74.5,pd,pe
pd_8,Peltocephalus dumerilianus,INPA-H_22885,1.028510638,0.949361702,0.347234043,0.814468085,0.160425532,0.09106383,0.30212766,77.112,pd,pe
pe_1,Podocnemis erythrocephala,USNM_135474,1.051383399,0.992094862,0.275362319,0.805006588,0.165568731,0.123847167,0.216073781,75.56,pe,po
pe_2,Podocnemis erythrocephala,INPA-H_10268,1.246413199,1.00197274,0.43543759,0.967539455,0.224175036,0.176470588,0.395803443,82.313,pe,po
px_1,Podocnemis expansa,AMNH_91853,0.865746937,0.685678987,0.379491403,0.626994749,0.138165345,0.128796458,0.275610007,81.25,px,po
px_2,Podocnemis expansa,BMNH_????,1.121242089,0.973892405,0.365901899,0.788568038,0.228045886,0.199169304,0.293710443,79.349,px,po
px_3,Podocnemis expansa,MPEG_0477,1.066788416,0.974563005,0.344247326,0.777328463,0.203887295,0.175058701,0.261414036,80.564,px,po
px_4,Podocnemis expansa,AMNH_97124,1.068292683,0.970731707,0.329976397,0.736270653,0.224704957,0.17718332,0.232730134,84.906,px,po
px_5,Podocnemis expansa,MNHN275,0.953924248,0.937914877,0.313158922,0.714369387,0.170245998,0.15404139,0.265911753,76.246,px,po
px_6,Podocnemis expansa,NMW_35550,0.90944533,0.879319511,0.259613681,0.674286727,0.1837675,0.150097466,0.223639908,78.22,px,po
px_7,Podocnemis expansa,MPEG_0292,0.861146039,0.836357104,0.306807976,0.726603197,0.19220406,0.125381714,0.305370936,80.892,px,po
px_8,Podocnemis expansa,MPEG_0287,1.08356896,0.937166195,0.349984292,0.757775683,0.228086711,0.106817468,0.20263902,89.054,px,po
pl_1,Podocnemis lewyana,ICN_5769,0.974866478,0.934338674,0.355639334,0.733898838,0.174363808,0.143261074,0.265158655,75.595,pl,po
pl_2,Podocnemis lewyana,MNHN#,1.142763589,0.922069417,0.333333333,0.733791749,0.137197119,0.121807466,0.270464964,88.636,pl,po
ps_1,Podocnemis sextuberculata,INPA-H_8930,1.171708913,0.963205233,0.304170074,0.809484873,0.14268193,0.102616517,0.146770237,88.193,ps,po
ps_2,Podocnemis sextuberculata,BMNH_19743585,1.223648029,1.009165903,0.27543538,0.798350137,0.126031164,0.102199817,0.157195234,88.702,ps,po
ps_3,Podocnemis sextuberculata,USNM_065111,1.199726135,0.966744914,0.320422535,0.854655712,0.15356025,0.078442879,0.204225352,89.759,ps,po
ps_4,Podocnemis sextuberculata,MNHN-X117,1.126688858,1.147444684,0.364597611,0.861758371,0.219698453,0.110240846,0.315057764,78.806,ps,po
pu_1,Podocnemis unifilis,AMNH_97118,0.971448228,1.016167871,0.316821465,0.855177159,0.148262814,0.146542828,0.305813553,71.243,pu,po
pu_2,Podocnemis unifilis,MTKD_45847,0.96699073,0.940312005,0.318335971,0.693420755,0.172055166,0.137689351,0.258874067,75.476,pu,po
pu_3,Podocnemis unifilis,CRI_11120,0.901981506,0.97675033,0.264993395,0.72681638,0.165653897,0.08005284,0.222457067,73.971,pu,po
pu_4,Podocnemis unifilis,INPA-H_8942,1.005791506,0.98970399,0.302445302,0.754826255,0.187902188,0.129343629,0.284427284,81.368,pu,po
pu_5,Podocnemis unifilis,MPEG_0168,0.887684729,0.974876847,0.327093596,0.750738916,0.143842365,0.135960591,0.272413793,72.652,pu,po
pv_1,Podocnemis vogli,MNHN_????,1.094043887,0.987908643,0.362740708,0.931034483,0.213613972,0.141961487,0.306762203,78.487,pv,po
pv_2,Podocnemis vogli,UF_39060,1.14249621,1.109651339,0.346134411,0.926730672,0.198585144,0.075290551,0.283476503,74.697,pv,po
pv_3,Podocnemis vogli,USNM_266206,1.17820868,1.031086488,0.2914743,0.89596799,0.267159126,0.099107418,0.271775931,74.561,pv,po
sg_1,Stupendemys geographica,VPPLT-979,0.617679077,0.945743523,0.343609841,0.569649467,0.198127585,0.350402787,0.369518833,65.355,sg,st
