ID,Taxon,Specimens,ML,MW,MiL,HC ,TSL,TSW,TSML,SH,AJR,species,genus
em_1,Erymnochelys madagascariensis,MNHN_1897-80,41.24,43.02,41.57,15.87,32.6,8.45,5.48,16.08,82.029,em,er
em_2,Erymnochelys madagascariensis,MNHN_1946-71,61.94,53.43,48.94,20.74,36.57,11.64,5.98,19.02,92.764,em,er
em_3,Erymnochelys madagascariensis,NMW_140,40.69,47.15,43.7,17.27,33.39,8.89,6.14,15.82,89.517,em,er
em_4,Erymnochelys madagascariensis,NMW_141,41.21,44.44,41.75,19.84,32.08,7.42,4.78,16.16,86.592,em,er
em_5,Erymnochelys madagascariensis,NMW_142,44.54,43.29,44.29,15.75,32.5,8.17,5.45,13.79,88.282,em,er
em_6,Erymnochelys madagascariensis,BSZ_843-20,29.71,32.4,31.87,8.86,24.6,5.44,4.38,10.21,82.288,em,er
em_7,Erymnochelys madagascariensis,NMW_146,,49.44,48.8,,37.13,8.8,4.5,,85.119,em,er
em_7,Erymnochelys madagascariensis,NMW_139,,11.16,11.1,,8.7,1.57,1.3,,79.097,em,er
it_1,giant_turtle,Rondonia Jaw,278,282,266,148,141,29,49,168,65.839,it,it
pd_1,Peltocephalus dumerilianus,MCZ_93077,63.3,66.94,57.06,29.67,49.78,10.02,11.4,26.4,73.689,pd,pe
pd_2,Peltocephalus dumerilianus,MPEG_0306(1a),56.19,53.51,49.97,21.23,42.87,8.72,9.26,24.11,69.547,pd,pe
pd_3,Peltocephalus dumerilianus,SMRF_40169,58.78,35.78,45.37,22.05,35.6,6.35,8.5,24.6,70.077,pd,pe
pd_4,Peltocephalus dumerilianus,AMNH_131886 (2a),68.42,60.89,54.11,27.6,44.79,8.09,10.16,29.04,72.286,pd,pe
pd_5,Peltocephalus dumerilianus,ICN_7324,58.95,54.36,55.2,23.37,40.25,7.66,9.22,23.77,74.661,pd,pe
pd_6,Peltocephalus dumerilianus,CRI_3344,78.68,61.2,68.95,27.09,53.13,8.78,13.91,29.37,70.958,pd,pe
pd_7,Peltocephalus dumerilianus,INPA-H_22885,44.92,41.35,41.65,15.35,33.17,5.85,5.67,15.25,74.5,pd,pe
pd_8,Peltocephalus dumerilianus,CRI_3295,,,26.9,,,,,,,pd,pe
pe_1,Podocnemis erythrocephala,USNM_135474,23.5,24.17,22.31,8.16,19.14,3.77,2.14,7.1,77.112,pe,po
pe_2,Podocnemis erythrocephala,INPA-H_10268,22.77,23.94,22.59,6.27,18.33,3.77,2.82,4.92,75.56,pe,po
pl_1,Podocnemis lewyana,ICN_5769,31.83,34.49,29.83,11.14,24.12,7.26,3.4,6.45,89.054,pl,po
pl_2,Podocnemis lewyana,MNHN#,31.83,31.03,29.74,11.32,23.36,5.55,4.56,8.44,75.595,pl,po
ps_1,Podocnemis sextuberculata,INPA-H_8930,30.54,34.9,28.16,10.18,22.41,4.19,3.72,8.26,88.636,ps,po
ps_2,Podocnemis sextuberculata,BMNH_19743585,24.46,28.66,23.56,7.44,19.8,3.49,2.51,3.59,88.193,ps,po
ps_3,Podocnemis sextuberculata,USNM_065111,21.82,26.7,22.02,6.01,17.42,2.75,2.23,3.43,88.702,ps,po
ps_4,Podocnemis sextuberculata,MNHN-X117,51.12,61.33,49.42,16.38,43.69,7.85,4.01,10.44,89.759,ps,po
ps_5,Podocnemis sextuberculata,USNM_065110,,26.59,22.17,,17.42,3.45,2.36,,,ps,po
pu_1,Podocnemis unifilis,AMNH_97118,51.07,57.54,58.6,18.62,44.01,11.22,5.63,16.09,78.806,pu,po
pu_2,Podocnemis unifilis,MTKD_45847,29.07,28.24,29.54,9.21,24.86,4.31,4.26,8.89,71.243,pu,po
